Experiment	Z spectroscopy	
Saved Date	24.08.2024 21:17:11	
User		
Date		
X (m)	356.068E-9	
Y (m)	-268.571E-9	
Z (m)	-70.16E-9	
Z offset (m)	1E-9	
Z sweep distance (m)	1E-9	
Settling time (s)	50E-3	
Integration time (s)	700E-3	
Final Z (m)	N/A	
Start time	24.08.2024 21:12:09	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Current (A)	Bias (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	LI Demod 1 X (A)	LI Demod 1 Y (A)
794.99995E-12	2.9937504E-12	600.00002E-3	89.444009E-6	102.96838E-12	-567.17306E-3	284.88942E-6	-2.3478212E-12	9.5176095E-15
792.49995E-12	2.9858663E-12	600.00002E-3	-2.0444302E-3	103.06704E-12	-590.30342E-3	282.19260E-6	-2.3603836E-12	23.522246E-15
789.99995E-12	2.9799295E-12	600.00002E-3	-6.7272484E-3	102.83357E-12	-602.92387E-3	313.19482E-6	-2.3595626E-12	20.885432E-15
787.49995E-12	2.9731603E-12	600.00002E-3	6.7094527E-3	102.88567E-12	-529.64914E-3	304.87753E-6	-2.3498284E-12	-10.929718E-15
784.99995E-12	2.9684920E-12	600.00002E-3	1.3258384E-3	102.76659E-12	-564.59850E-3	329.44969E-6	-2.3545105E-12	9.4912583E-15
782.49995E-12	2.9636057E-12	600.00002E-3	-1.8246496E-3	102.93010E-12	-598.33992E-3	290.48068E-6	-2.3678108E-12	12.156694E-15
779.99995E-12	2.9580643E-12	600.00002E-3	-300.66076E-6	103.01661E-12	-556.26488E-3	284.63415E-6	-2.3576885E-12	16.913547E-15
777.49995E-12	2.9562936E-12	600.00002E-3	1.7164762E-3	102.98036E-12	-571.40148E-3	288.08069E-6	-2.3722677E-12	11.733293E-15
774.99995E-12	2.9520501E-12	600.00002E-3	-176.97559E-6	103.01722E-12	-564.47166E-3	293.24373E-6	-2.3656879E-12	3.0083925E-15
772.49995E-12	2.9457693E-12	600.00002E-3	4.3225074E-3	102.86243E-12	-552.22946E-3	306.20053E-6	-2.3608071E-12	27.828520E-15
769.99995E-12	2.9433253E-12	600.00002E-3	-4.9119173E-3	102.99319E-12	-572.79855E-3	286.06399E-6	-2.3592226E-12	4.5463858E-15
767.49995E-12	2.9397960E-12	600.00002E-3	5.5931811E-3	103.07007E-12	-553.64543E-3	288.78322E-6	-2.3542821E-12	22.898280E-15
764.99995E-12	2.9348529E-12	600.00002E-3	2.5160506E-3	103.03583E-12	-578.57758E-3	290.47785E-6	-2.3641716E-12	18.738454E-15
762.49995E-12	2.9295188E-12	600.00002E-3	-1.2709284E-3	103.16169E-12	-591.91191E-3	265.46940E-6	-2.3508775E-12	7.0206627E-15
759.99995E-12	2.9264011E-12	600.00002E-3	-307.27460E-6	103.06428E-12	-559.72236E-3	283.00748E-6	-2.3559685E-12	18.693655E-15
757.49995E-12	2.9213695E-12	600.00002E-3	1.6152321E-3	103.36679E-12	-573.95327E-3	272.06098E-6	-2.3499713E-12	18.797084E-15
754.99995E-12	2.9188826E-12	600.00002E-3	-1.4261471E-3	103.18325E-12	-588.80156E-3	269.31285E-6	-2.3541256E-12	13.536764E-15
752.49995E-12	2.9129609E-12	600.00002E-3	2.8732345E-3	102.80475E-12	-547.29187E-3	302.24555E-6	-2.3624065E-12	18.986598E-15
749.99995E-12	2.9109382E-12	600.00002E-3	-317.46650E-6	103.12355E-12	-580.54370E-3	281.53008E-6	-2.3650266E-12	30.747255E-15
747.49995E-12	2.9091976E-12	600.00002E-3	-1.1916081E-3	102.99139E-12	-583.85611E-3	307.43185E-6	-2.3732943E-12	9.6731103E-15
744.99995E-12	2.9038310E-12	600.00002E-3	3.0433845E-3	102.87308E-12	-563.04395E-3	305.25916E-6	-2.3543567E-12	18.845524E-15
742.49995E-12	2.8937512E-12	600.00002E-3	-2.4696360E-3	102.97378E-12	-568.94982E-3	286.45768E-6	-2.3493774E-12	17.990085E-15
739.99995E-12	2.8973325E-12	600.00002E-3	-1.5984458E-3	102.79968E-12	-598.52839E-3	285.02996E-6	-2.3672880E-12	1.7141285E-15
